[2026-06-12 09:23:15] [INFO] [task-handler] 任务创建成功: id=8fbdc057-4023-4d75-97c8-3d9feb84200d, target=flutter
[2026-06-12 09:23:43] [INFO] [task-handler] 任务创建成功: id=f3933b94-6c09-479b-baf1-541572126eac, target=flutter
[2026-06-12 12:34:15] [INFO] [task-handler] 任务创建成功: id=20260612123415.034_d6d1515b, target=flutter
[2026-06-12 12:42:39] [INFO] [task-handler] 任务创建成功: id=20260612124239.132_ecbab563, target=flutter
[2026-06-12 13:03:19] [INFO] [task-handler] 任务创建成功: id=20260612130319.828_3898ed53, target=flutter
[2026-06-12 13:09:21] [INFO] [task-handler] 任务创建成功: id=20260612130921.313_3a583211, target=flutter
[2026-06-12 13:16:02] [INFO] [task-handler] 任务创建成功: id=20260612131602.333_c56f8155, target=flutter
[2026-06-12 13:16:55] [INFO] [task-handler] 任务创建成功: id=20260612131655.590_116818a3, target=flutter
[2026-06-12 13:22:58] [INFO] [task-handler] 任务创建成功: id=20260612132258.126_23119347, target=flutter
[2026-06-12 13:23:32] [INFO] [task-handler] 任务创建成功: id=20260612132332.209_b18ec86f, target=flutter
[2026-06-12 13:33:42] [INFO] [task-handler] 任务创建成功: id=20260612133342.719_e3921aa1, target=flutter
[2026-06-12 13:35:43] [INFO] [task-handler] 任务创建成功: id=20260612133543.620_0b928607, target=flutter
[2026-06-12 13:47:55] [INFO] [task-handler] 任务创建成功: id=20260612134755.470_d04c3300, target=flutter
[2026-06-12 13:49:35] [INFO] [task-handler] 任务创建成功: id=20260612134935.201_451bbd59, target=flutter
[2026-06-12 13:49:48] [INFO] [task-handler] 任务创建成功: id=20260612134947.996_560d2cf9, target=flutter
[2026-06-12 14:28:13] [INFO] [task-handler] 任务创建成功: id=20260612142813.709_617909d4, target=flutter
[2026-06-12 15:52:42] [INFO] [task-handler] 任务创建成功: id=20260612155242.455_921299d1, target=flutter
[2026-06-12 15:55:24] [INFO] [task-handler] 任务创建成功: id=20260612155524.200_0a9c243c, target=flutter
[2026-06-12 15:59:56] [INFO] [task-handler] 任务创建成功: id=20260612155956.668_90d92934, target=react
[2026-06-12 16:00:37] [INFO] [task-handler] 任务创建成功: id=20260612160037.788_9c980b54, target=flutter
[2026-06-12 16:02:36] [INFO] [task-handler] 任务创建成功: id=20260612160232.049_e456e6ad, target=react
[2026-06-12 16:05:01] [INFO] [task-handler] 任务创建成功: id=20260612160501.676_831496aa, target=flutter
[2026-06-12 16:07:57] [INFO] [task-handler] 任务创建成功: id=20260612160757.871_1e905dd2, target=flutter
[2026-06-12 16:13:41] [INFO] [task-handler] 任务创建成功: id=20260612161341.525_106694fd, target=flutter
[2026-06-12 16:22:57] [INFO] [task-handler] 任务创建成功: id=20260612162257.177_fd617115, target=flutter
[2026-06-12 16:24:49] [INFO] [task-handler] 任务创建成功: id=20260612162449.485_82d2dda8, target=vue3
[2026-06-12 16:27:43] [INFO] [task-handler] 任务创建成功: id=20260612162743.792_83ae295b, target=vue3
[2026-06-12 16:30:30] [INFO] [task-handler] 任务创建成功: id=20260612163030.847_e6db0bce, target=flutter
[2026-06-12 16:37:24] [INFO] [task-handler] 任务创建成功: id=20260612163724.223_a5345946, target=flutter
[2026-06-12 16:41:24] [INFO] [task-handler] 任务创建成功: id=20260612164124.873_38f4e629, target=flutter
[2026-06-12 16:43:36] [INFO] [task-handler] 任务创建成功: id=20260612164336.761_3078e809, target=flutter
[2026-06-12 16:46:12] [INFO] [task-handler] 任务创建成功: id=20260612164612.311_04e85f2b, target=flutter
[2026-06-12 17:20:58] [INFO] [task-handler] 任务创建成功: id=20260612172058.424_2596bb6b, target=flutter
[2026-06-12 17:22:10] [INFO] [task-handler] 任务创建成功: id=20260612172210.794_b0345b47, target=flutter
[2026-06-12 17:24:00] [INFO] [task-handler] 任务创建成功: id=20260612172400.280_ca057fbe, target=flutter
[2026-06-12 17:31:25] [INFO] [task-handler] 任务创建成功: id=20260612173125.103_cc31c013, target=flutter
[2026-06-12 17:35:29] [INFO] [task-handler] 任务创建成功: id=20260612173529.840_6ae0976a, target=flutter
[2026-06-12 17:45:39] [INFO] [task-handler] 任务创建成功: id=20260612174539.431_d973d18e, target=flutter
[2026-06-12 17:49:16] [INFO] [task-handler] 任务创建成功: id=20260612174916.656_57a8d080, target=vue3
[2026-06-12 17:57:57] [INFO] [task-handler] 任务创建成功: id=20260612175757.366_1743f5a9, target=flutter
[2026-06-12 18:01:05] [INFO] [task-handler] 任务创建成功: id=20260612180105.179_8ef11c3a, target=vue3
[2026-06-12 18:04:35] [INFO] [task-handler] 任务创建成功: id=20260612180434.998_91a7f3b7, target=vue3
[2026-06-12 18:06:11] [INFO] [task-handler] 任务创建成功: id=20260612180611.714_63c07017, target=vue3
[2026-06-12 18:09:57] [INFO] [task-handler] 任务创建成功: id=20260612180957.094_82e3c7f8, target=vue3
